problem,category,source,submission_id,date,language,result,time_seconds,memory_kb,dmoj_url
seq0,Other,solutions/Other/seq0.cpp,5422419,2023-03-20T19:24:05+00:00,CPP14,AC,0.241160106,11008.0,https://dmoj.ca/problem/seq0
seq3,Other,solutions/Other/seq3.cpp,6053926,2024-01-06T01:07:38+00:00,CPP14,AC,0.017054577,3496.0,https://dmoj.ca/problem/seq3
sgspc1p1,Other,solutions/Other/sgspc1p1.cpp,4925512,2022-10-10T21:11:50+00:00,CPP14,AC,6.798469269,20532.0,https://dmoj.ca/problem/sgspc1p1
shortest1,Other,solutions/Other/shortest1.py,4826124,2022-09-10T14:45:33+00:00,PYPY,AC,3.989837442,58232.0,https://dmoj.ca/problem/shortest1
sleigh,Other,solutions/Other/sleigh.cpp,5009810,2022-11-06T17:52:55+00:00,CPP14,AC,0.177893906,9524.0,https://dmoj.ca/problem/sleigh
spree,Other,solutions/Other/spree.cpp,5315120,2023-02-11T19:27:09+00:00,CPP14,AC,0.03550812,3508.0,https://dmoj.ca/problem/spree
sssp,Other,solutions/Other/sssp.cpp,5240324,2023-01-22T19:29:29+00:00,CPP20,AC,0.214326619,3728.0,https://dmoj.ca/problem/sssp
summaximization,Other,solutions/Other/summaximization.cpp,5721051,2023-08-19T16:55:33+00:00,CPP14,AC,0.624538167,3468.0,https://dmoj.ca/problem/summaximization
tc19summeri,Other,solutions/Other/tc19summeri.cpp,5495856,2023-04-22T21:43:26+00:00,CPP14,AC,0.003307937,3412.0,https://dmoj.ca/problem/tc19summeri
tcc1p1,Other,solutions/Other/tcc1p1.cpp,6205948,2024-02-17T22:38:41+00:00,CPP14,AC,0.698476493,4572.0,https://dmoj.ca/problem/tcc1p1
tcc1p2,Other,solutions/Other/tcc1p2.cpp,6237866,2024-02-21T15:33:33+00:00,CPP14,AC,1.648506094,30544.0,https://dmoj.ca/problem/tcc1p2
thicc17p5,Other,solutions/Other/thicc17p5.cpp,4806479,2022-08-31T01:37:26+00:00,CPP14,AC,0.782084493,7640.0,https://dmoj.ca/problem/thicc17p5
tle16c3p4,Other,solutions/Other/tle16c3p4.cpp,5296370,2023-02-07T15:03:42+00:00,CPP14,AC,0.163642241,3464.0,https://dmoj.ca/problem/tle16c3p4
tle16c4p4,Other,solutions/Other/tle16c4p4.java,5034183,2022-11-15T03:16:05+00:00,JAVA,AC,18.061704746,87244.0,https://dmoj.ca/problem/tle16c4p4
tle17c2p2,Other,solutions/Other/tle17c2p2.cpp,6169792,2024-02-10T14:12:43+00:00,CPP14,AC,1.094506702,5144.0,https://dmoj.ca/problem/tle17c2p2
tle17c2p3,Other,solutions/Other/tle17c2p3.cpp,5535076,2023-05-11T16:03:29+00:00,CPP14,AC,0.247506064,3460.0,https://dmoj.ca/problem/tle17c2p3
tle18p2,Other,solutions/Other/tle18p2.cpp,4915396,2022-10-08T01:13:54+00:00,CPP14,AC,0.357642327,3448.0,https://dmoj.ca/problem/tle18p2
tle18p3,Other,solutions/Other/tle18p3.txt,4920600,2022-10-09T14:00:56+00:00,TEXT,AC,0.004172452,1740.0,https://dmoj.ca/problem/tle18p3
tle18p4,Other,solutions/Other/tle18p4.txt,5498501,2023-04-24T02:47:49+00:00,TEXT,AC,0.09419474,1744.0,https://dmoj.ca/problem/tle18p4
toosimple,Other,solutions/Other/toosimple.cpp,4787375,2022-08-21T14:24:55+00:00,CPP14,AC,0.003380728,3396.0,https://dmoj.ca/problem/toosimple
toosimple2,Other,solutions/Other/toosimple2.c,5543626,2023-05-16T11:33:03+00:00,CLANG,AC,0.002765395,1672.0,https://dmoj.ca/problem/toosimple2
totaldestruction,Other,solutions/Other/totaldestruction.cpp,6042666,2024-01-01T16:21:37+00:00,CPP14,AC,0.162189016,7780.0,https://dmoj.ca/problem/totaldestruction
towers,Other,solutions/Other/towers.cpp,4967974,2022-10-24T23:50:28+00:00,CPP14,AC,0.285230698,11196.0,https://dmoj.ca/problem/towers
tree1,Other,solutions/Other/tree1.java,4841196,2022-09-15T01:53:58+00:00,JAVA,AC,2.921793894,56236.0,https://dmoj.ca/problem/tree1
treepractice1,Other,solutions/Other/treepractice1.java,5030086,2022-11-13T18:17:15+00:00,JAVA8,AC,6.69947548,140024.0,https://dmoj.ca/problem/treepractice1
tsoc15c1p5,Other,solutions/Other/tsoc15c1p5.java,4920460,2022-10-09T11:52:53+00:00,JAVA8,AC,0.320788935,40456.0,https://dmoj.ca/problem/tsoc15c1p5
tsoc16c1p1,Other,solutions/Other/tsoc16c1p1.cpp,5312649,2023-02-11T04:42:15+00:00,CPP14,AC,0.003672573,3472.0,https://dmoj.ca/problem/tsoc16c1p1
tsoc16c1p4,Other,solutions/Other/tsoc16c1p4.java,4920456,2022-10-09T11:42:39+00:00,JAVA8,AC,0.342364263,40416.0,https://dmoj.ca/problem/tsoc16c1p4
tsoc16c1p6,Other,solutions/Other/tsoc16c1p6.cpp,5445205,2023-03-31T23:46:25+00:00,CPP14,AC,0.06704341,7312.0,https://dmoj.ca/problem/tsoc16c1p6
uacc1p1,Other,solutions/Other/uacc1p1.cpp,6064693,2024-01-10T02:38:30+00:00,CPP14,AC,0.065231353,3532.0,https://dmoj.ca/problem/uacc1p1
ucc20p4,Other,solutions/Other/ucc20p4.cpp,5403548,2023-03-11T14:24:47+00:00,CPP14,AC,0.236643404,11440.0,https://dmoj.ca/problem/ucc20p4
usaco19febb3,USACO,solutions/USACO/usaco19febb3.java,5116727,2022-12-13T02:18:03+00:00,JAVA,AC,1.093634875,64136.0,https://dmoj.ca/problem/usaco19febb3
usaco20febb3,USACO,solutions/USACO/usaco20febb3.java,5023069,2022-11-11T15:18:15+00:00,JAVA,AC,1.345275021,75120.0,https://dmoj.ca/problem/usaco20febb3
usaco20janb1,USACO,solutions/USACO/usaco20janb1.java,5113870,2022-12-12T03:08:50+00:00,JAVA,AC,0.997021622,61036.0,https://dmoj.ca/problem/usaco20janb1
usaco20marb1,USACO,solutions/USACO/usaco20marb1.java,5114109,2022-12-12T05:43:34+00:00,JAVA,AC,1.55088512,63068.0,https://dmoj.ca/problem/usaco20marb1
usaco21febb1,USACO,solutions/USACO/usaco21febb1.java,5079683,2022-11-30T13:03:18+00:00,JAVA,AC,1.01157641,61212.0,https://dmoj.ca/problem/usaco21febb1
usaco21febb2,USACO,solutions/USACO/usaco21febb2.java,5093214,2022-12-05T23:32:35+00:00,JAVA,AC,3.103436773,83736.0,https://dmoj.ca/problem/usaco21febb2
usaco21febb3,USACO,solutions/USACO/usaco21febb3.java,5093219,2022-12-05T23:33:04+00:00,JAVA,AC,1.030787543,62996.0,https://dmoj.ca/problem/usaco21febb3
usaco21openb1,USACO,solutions/USACO/usaco21openb1.java,5114204,2022-12-12T07:31:06+00:00,JAVA,AC,2.480522432,73456.0,https://dmoj.ca/problem/usaco21openb1
usaco22decb1,USACO,solutions/USACO/usaco22decb1.java,5209410,2023-01-12T12:31:54+00:00,JAVA,AC,2.365018386,56048.0,https://dmoj.ca/problem/usaco22decb1
usaco22decb2,USACO,solutions/USACO/usaco22decb2.java,5209414,2023-01-12T12:33:53+00:00,JAVA,AC,2.114918226,63980.0,https://dmoj.ca/problem/usaco22decb2
usaco22jans1,USACO,solutions/USACO/usaco22jans1.java,5170144,2022-12-31T04:56:04+00:00,JAVA,AC,1.204253392,61060.0,https://dmoj.ca/problem/usaco22jans1
usaco22openb1,USACO,solutions/USACO/usaco22openb1.java,5467460,2023-04-11T14:05:34+00:00,JAVA,AC,1.977308422,69508.0,https://dmoj.ca/problem/usaco22openb1
usaco22openb2,USACO,solutions/USACO/usaco22openb2.java,5470540,2023-04-13T01:40:33+00:00,JAVA,AC,1.606637096,54220.0,https://dmoj.ca/problem/usaco22openb2
usaco23febb1,USACO,solutions/USACO/usaco23febb1.java,5407154,2023-03-13T13:28:37+00:00,JAVA,AC,2.929256001,73180.0,https://dmoj.ca/problem/usaco23febb1
usaco23janb1,USACO,solutions/USACO/usaco23janb1.java,5315175,2023-02-11T19:32:26+00:00,JAVA,AC,2.671596516,70232.0,https://dmoj.ca/problem/usaco23janb1
usaco23janb2,USACO,solutions/USACO/usaco23janb2.java,5553116,2023-05-21T17:09:49+00:00,JAVA,AC,1.082191892,40868.0,https://dmoj.ca/problem/usaco23janb2
usaco23janb3,USACO,solutions/USACO/usaco23janb3.java,5302211,2023-02-08T23:29:56+00:00,JAVA,AC,1.132066866,52984.0,https://dmoj.ca/problem/usaco23janb3
usaco23openb1,USACO,solutions/USACO/usaco23openb1.java,5515522,2023-04-30T17:22:12+00:00,JAVA,AC,3.04201055,47928.0,https://dmoj.ca/problem/usaco23openb1
usaco23opens1,USACO,solutions/USACO/usaco23opens1.java,5497471,2023-04-23T16:45:39+00:00,JAVA,AC,7.707563008,93656.0,https://dmoj.ca/problem/usaco23opens1
usacotrain521,USACO,solutions/USACO/usacotrain521.java,5341014,2023-02-15T04:52:22+00:00,JAVA,AC,2.006847991,61060.0,https://dmoj.ca/problem/usacotrain521
utso18p2,Other,solutions/Other/utso18p2.cpp,6045168,2024-01-02T18:50:26+00:00,CPP14,AC,0.053634107,3480.0,https://dmoj.ca/problem/utso18p2
valday15p2,Other,solutions/Other/valday15p2.cpp,5360827,2023-02-20T23:16:57+00:00,CPP14,AC,0.01878,3460.0,https://dmoj.ca/problem/valday15p2
valentines18j4s1,Other,solutions/Other/valentines18j4s1.cpp,5416710,2023-03-18T20:06:29+00:00,CPP14,AC,0.106786676,3424.0,https://dmoj.ca/problem/valentines18j4s1
valentines19j3,Other,solutions/Other/valentines19j3.cpp,5403558,2023-03-11T14:46:13+00:00,CPP14,AC,0.334525119,3468.0,https://dmoj.ca/problem/valentines19j3
valentines19s2,Other,solutions/Other/valentines19s2.cpp,5433614,2023-03-26T00:26:55+00:00,CPP14,AC,1.785103876,24148.0,https://dmoj.ca/problem/valentines19s2
vmss15c1p2,Other,solutions/Other/vmss15c1p2.cpp,5012094,2022-11-07T12:15:05+00:00,CPP14,AC,0.04019309,3412.0,https://dmoj.ca/problem/vmss15c1p2
vmss15c1p4,Other,solutions/Other/vmss15c1p4.cpp,5312625,2023-02-11T04:35:30+00:00,CPP14,AC,0.161684184,4572.0,https://dmoj.ca/problem/vmss15c1p4
vmss7wc15c2p3,Other,solutions/Other/vmss7wc15c2p3.cpp,5557829,2023-05-24T20:31:00+00:00,CPP14,AC,0.105204875,3408.0,https://dmoj.ca/problem/vmss7wc15c2p3
vmss7wc16c2p3,Other,solutions/Other/vmss7wc16c2p3.cpp,5434515,2023-03-26T17:32:59+00:00,CPP14,AC,0.974511133,7380.0,https://dmoj.ca/problem/vmss7wc16c2p3
vmss7wc16c3p2,Other,solutions/Other/vmss7wc16c3p2.cpp,4868464,2022-09-24T00:21:19+00:00,CPP14,AC,0.044272981,7396.0,https://dmoj.ca/problem/vmss7wc16c3p2
vmss7wc16c3p3,Other,solutions/Other/vmss7wc16c3p3.cpp,5240342,2023-01-22T19:35:07+00:00,CPP17,AC,0.121649619,3752.0,https://dmoj.ca/problem/vmss7wc16c3p3
vmss7wc16c4p3,Other,solutions/Other/vmss7wc16c4p3.cpp,5429406,2023-03-23T20:38:58+00:00,CPP14,AC,0.036033265,3756.0,https://dmoj.ca/problem/vmss7wc16c4p3
vmss7wc16c5p3,Other,solutions/Other/vmss7wc16c5p3.cpp,5463446,2023-04-09T19:13:33+00:00,CPP14,AC,0.047164013,4080.0,https://dmoj.ca/problem/vmss7wc16c5p3
vmss7wc16c5p4,Other,solutions/Other/vmss7wc16c5p4.java,5376181,2023-02-26T18:14:46+00:00,JAVA,AC,0.496269246,40268.0,https://dmoj.ca/problem/vmss7wc16c5p4
wac6p3,Other,solutions/Other/wac6p3.cpp,5470758,2023-04-13T02:57:12+00:00,CPP14,AC,3.771124793,7120.0,https://dmoj.ca/problem/wac6p3
wac6p4,Other,solutions/Other/wac6p4.cpp,5469707,2023-04-12T19:16:34+00:00,CPP14,AC,0.229323182,3556.0,https://dmoj.ca/problem/wac6p4
waterloo2017wa,Other,solutions/Other/waterloo2017wa.cpp,5563823,2023-05-28T17:19:48+00:00,CPP14,AC,0.071814835,3712.0,https://dmoj.ca/problem/waterloo2017wa
waterloo2017wb,Other,solutions/Other/waterloo2017wb.cpp,5449268,2023-04-02T13:13:28+00:00,CPP14,AC,0.072922313,3460.0,https://dmoj.ca/problem/waterloo2017wb
waterloo2017wc,Other,solutions/Other/waterloo2017wc.cpp,5495111,2023-04-22T15:57:48+00:00,CPP14,AC,0.065975628,3472.0,https://dmoj.ca/problem/waterloo2017wc
wc02p10,Other,solutions/Other/wc02p10.cpp,5456659,2023-04-06T14:43:44+00:00,CPP14,AC,0.006103272,3484.0,https://dmoj.ca/problem/wc02p10
wc15c1s1,Other,solutions/Other/wc15c1s1.cpp,5469720,2023-04-12T19:26:52+00:00,CPP14,AC,0.016983483,3436.0,https://dmoj.ca/problem/wc15c1s1
wc15c2s1,Other,solutions/Other/wc15c2s1.cpp,5952658,2023-11-25T16:24:24+00:00,CPP14,AC,0.004254101,3420.0,https://dmoj.ca/problem/wc15c2s1
wc15fs2,Other,solutions/Other/wc15fs2.cpp,5446122,2023-04-01T14:38:20+00:00,CPP14,AC,1.900378839,15264.0,https://dmoj.ca/problem/wc15fs2
wc16c1j1,Other,solutions/Other/wc16c1j1.cpp,5952675,2023-11-25T16:31:56+00:00,CPP14,AC,0.010390254,3468.0,https://dmoj.ca/problem/wc16c1j1
wc16c1s3,Other,solutions/Other/wc16c1s3.cpp,5089917,2022-12-04T17:11:25+00:00,CPP20,AC,0.134340343,4856.0,https://dmoj.ca/problem/wc16c1s3
wc16c3s1,Other,solutions/Other/wc16c3s1.cpp,5434128,2023-03-26T13:40:23+00:00,CPP14,AC,0.040661515,3432.0,https://dmoj.ca/problem/wc16c3s1
